time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58374.2419,g,,,,,20.08,,P48,2,,MJD,True
58481.5504745,r,,,0.13,,18.97,,P48,2,,MJD,
58492.5320023,g,,,0.12,,19.24,,P48,2,,MJD,
