time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58568.2099884,g,,,0.16,,19.5,,P48,2,,MJD,
58568.2132407,g,,,0.15,,19.36,,P48,2,,MJD,
