time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58439.5,,,,,,19.9,,,"2,3",,MJD,
58440.507338,r,,,0.1896,,19.8999,,P48,2,,MJD,
58443.4418866,r,,,0.120542,,19.2644,,P48,2,,MJD,
58447.461956,r,,,0.0862891,,18.5267,,P48,2,,MJD,
58447.5162847,r,,,0.0822968,,18.6279,,P48,2,,MJD,
