time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57698.195,G,,,,,21.5,,Gaia,3,,MJD,True
57720.4509954,G,,,0.2,,18.71,,Gaia,3,,MJD,
57720.952,G,,,0.0,,18.75,,GAIA,2,,MJD,
57721.128,G,,,0.0,,18.77,,GAIA,2,,MJD,
